date,symbol,direction,shares,price,value,cost
2017-02-03,511010,sell,236.44636553433907,110.827,26204.641353074196,34.066033758996454
2017-02-03,510500,sell,22288.81430103843,6.493,144721.27125664253,188.13765263363527
2017-02-03,512120,buy,44811.01423279652,0.42217179902755264,18917.946494908974,24.593330443381664
2017-02-03,513100,buy,168742.49603945922,0.36518104776579347,61621.56150630498,80.10802995819647
2017-02-03,513500,buy,190219.37674017693,0.7348957952468007,139791.42014082312,181.72884618307003
2017-02-03,518880,buy,470.09690813460315,2.674,1257.0391323519289,1.6341508720575075
2017-02-06,518880,sell,1027.8977457204555,2.701,2776.3518111909507,3.6092573545482356
2017-02-06,510500,sell,2060.428394327822,6.549,13493.745554452908,17.54186922078878
2017-02-06,513100,sell,74233.31499414261,0.36635400616332814,27195.6723388884,35.354374040554916
2017-02-06,513500,sell,29844.97407230023,0.7415027422303474,22130.130116404238,28.769169151325507
2017-02-06,512120,sell,24473.29999677308,0.424730415991356,10394.554888310682,13.512921354803886
2017-02-06,511880,buy,252.3476416121965,100.378,25330.15156974906,32.92919704067378
2017-02-06,511010,buy,228.7869897461867,110.715,25330.15156974906,32.92919704067378
2017-04-05,511880,sell,241.76240877526118,100.864,24385.123598707945,31.70066067832033
2017-04-05,511010,sell,218.14274018672634,110.81,24172.397040091146,31.424116152118486
2017-04-05,513100,sell,123387.51799022373,0.38903120184899836,48001.594416901644,62.402072741972134
2017-04-05,513500,sell,82002.64452516843,0.7948665447897624,65181.15871734376,84.73550633254688
2017-04-05,512120,sell,88434.3158701693,0.4586320907617504,40558.81518262079,52.726459737407026
2017-04-05,510500,buy,17782.2832173544,6.859,121968.68058783383,158.55928476418399
2017-04-05,518880,buy,37083.38434563109,2.792,103536.809093002,134.59785182090258
2017-04-19,518880,sell,4756.931814982959,2.841,13514.443286366586,17.568776272276562
2017-04-19,510500,sell,3632.6138766304784,6.646,24142.35182408616,31.385057371312005
2017-04-19,513100,sell,54471.23169570601,0.38160246533127884,20786.35630471271,27.02226319612652
2017-04-19,513500,sell,18660.212212553382,0.7735210237659964,14434.06645434504,18.76428639064855
2017-04-19,512120,sell,13182.538410078832,0.4551139924365208,5999.557686258762,7.799424992136391
2017-04-19,511880,buy,260.25754789544817,101.024,26292.25851858976,34.17993607416668
2017-04-19,511010,buy,238.0337737976187,110.456,26292.25851858977,34.1799360741667
2017-06-01,511880,sell,266.97030899658915,101.448,27083.603907085977,35.20868507921177
2017-06-01,511010,sell,240.6457201120521,109.513,26353.83474663116,34.25998517062051
2017-06-01,510500,sell,11959.371128685998,5.984,71564.87683405701,93.0343398842741
2017-06-01,513100,sell,490241.08526135405,0.4079940292758089,200015.4356923252,260.02006640002276
2017-06-01,510880,buy,80810.03517103153,2.807,226833.76872508548,294.88389934261113
2017-06-01,512120,buy,28872.823029997344,0.45063641274986493,13011.145396199689,16.914489015059594
2017-06-01,513500,buy,113928.67221645238,0.7740292504570384,88184.12476126626,114.63936218964612
2017-06-01,518880,buy,8550.106956376285,2.777,23743.647017856943,30.866741123214027
2017-08-01,518880,sell,26456.327092546893,2.745,72622.61786904122,94.40940322975358
2017-08-01,510500,sell,1052.0257293756256,6.615,6959.150199819764,9.046895259765693
2017-08-01,510880,sell,20685.820255414426,3.026,62595.29209288405,81.37387972074926
2017-08-01,512120,buy,104738.92479290829,0.45351485683414366,47500.658482417944,61.75085602714333
2017-08-01,513500,buy,118829.61323822227,0.7786032906764169,92521.12789708577,120.27746626621149
2017-08-01,511880,buy,4.032619822364645,102.074,411.6256357480488,0.5351133264724635
2017-08-01,511010,buy,4.5283978998516154,109.764,497.0550670793127,0.6461715872031065
2017-10-09,513500,sell,400700.195367655,0.7928336380255941,317688.59365090425,412.9951717461755
2017-10-09,510500,buy,3984.3181634377397,7.039,28045.61555243825,36.45930021816972
2017-10-09,510880,buy,43759.96089187028,3.058,133817.9604073393,173.9633485295411
2017-10-09,512880,buy,130835.25915376976,1.112,145488.80817899198,189.13545063268955
2017-10-09,512120,buy,6626.637401315054,0.4784613722312263,3170.5900243119686,4.121767031605559
2017-10-09,518880,buy,2104.402783703416,2.729,5742.9151967266225,7.465789755744609
2017-10-09,511880,buy,2.3824329462208587,102.791,244.8926649749883,0.3183604644674848
2017-10-09,511010,buy,3.511752522208239,109.85,385.766014564575,0.5014958189339475
2017-10-09,511260,buy,229.4514994029958,100.136,22976.355344218387,29.869261947483903
2017-12-01,511880,sell,4.299806923216221,103.399,444.595736053634,0.5779744568697243
2017-12-01,511010,sell,1.8191898945467657,109.325,198.88293522132517,0.25854781578772273
2017-12-01,510500,sell,173.1901980949394,6.641,1150.1561055484926,1.4952029372130404
2017-12-01,510880,sell,36135.17373508616,3.09,111657.68684141623,145.1549928938411
2017-12-01,512880,sell,9647.275248682483,1.036,9994.577157635053,12.992950304925568
2017-12-01,512120,buy,40108.08996555961,0.4960518638573743,19895.692783175095,25.864400618127622
2017-12-01,518880,buy,38160.91136033096,2.702,103110.78249561426,134.04401724429852
2017-12-01,511260,buy,1.860623447216744,97.996,182.33365533345204,0.23703375193348764
2018-02-01,511010,sell,0.5847518419059696,109.868,64.24551536652507,0.08351916997648258
2018-02-01,518880,sell,1227.3917194225207,2.729,3349.552002304059,4.354417602995277
2018-02-01,510880,sell,10473.096429432517,3.222,33744.31669563157,43.867611704321035
2018-02-01,512880,sell,30773.875711544013,1.013,31173.93609579408,40.5261169245323
2018-02-01,510500,buy,4346.8652943114985,6.306,27411.332545928308,35.6347323097068
2018-02-01,512120,buy,80348.25786824003,0.49797082658022684,40011.088384928706,52.01441490040732
2018-02-01,511880,buy,6.647401555497016,100.57,668.5291744363349,0.8690879267672353
2018-02-01,511260,buy,0.5737510061002811,97.962,56.20579605959574,0.07306753487747446
2018-02-02,518880,sell,5859.661854295743,2.731,16002.736524081673,20.803557481306175
2018-02-02,510500,sell,2784.0121291266987,6.303,17547.628449885582,22.811916984851255
2018-02-02,512120,sell,37933.75787487297,0.49797082658022684,18889.904764244682,24.556876193518086
2018-02-02,510880,sell,5727.590564296878,3.253,18631.852105657745,24.22140773735507
2018-02-02,512880,sell,9041.41081935433,1.01,9131.824927547874,11.871372405812236
2018-02-02,511880,buy,265.6780312021091,100.628,26734.648923805835,34.75504360094758
2018-02-02,511010,buy,243.21914959794242,109.92,26734.64892380583,34.75504360094758
2018-02-02,511260,buy,272.33567887504915,98.168,26734.648923805828,34.75504360094757
2018-03-08,518880,sell,14947.557934423885,2.714,40567.672234026424,52.73797390423435
2018-03-08,511880,buy,134.0101024838924,100.907,13522.557411342132,17.579324634744772
2018-03-08,511010,buy,121.85777607769793,110.97,13522.557411342139,17.57932463474478
2018-03-08,511260,buy,136.49222193295924,99.072,13522.557411342139,17.57932463474478
2018-04-02,511880,sell,403.29897057952877,101.178,40804.98324529556,53.046478218884225
2018-04-02,518880,sell,135682.65735477163,2.696,365800.44422846433,475.5405774970036
2018-04-02,510500,sell,25056.10916214031,6.424,160960.44525758937,209.24857883486618
2018-04-02,512120,sell,341403.8208738568,0.5389086980010804,183985.48859972425,239.18113517964153
2018-04-02,510880,sell,51548.31507867183,2.905,149747.85530354167,194.67221189460417
2018-04-02,512880,sell,81372.69737418894,0.9,73235.42763677005,95.20605592780106
2018-04-02,511260,sell,415.3131267706875,99.769,41435.37534478473,53.865987948220145
2018-04-02,511010,buy,9135.738796722251,111.194,1015839.339762734,1320.5911416915542
2018-06-01,511010,sell,10.593128235880954,112.189,1188.4324636552483,1.5449622027518226
2018-06-01,511260,sell,2.5532856677800773,101.704,259.67936555590495,0.33758317522267645
2018-06-01,511880,buy,0.3754822449830308,101.8,38.22409253927253,0.04969132030105429
2018-08-01,511010,sell,3.4069216137494926,113.71,387.4010566994548,0.5036213737092912
2018-08-01,511880,buy,1.529816259954877,102.44,156.7143776697776,0.2037286909707109
2018-08-01,511260,buy,0.7565085489411977,102.698,77.69191495916311,0.10099948944691205
2018-10-08,511880,sell,0.7051284410805627,103.018,72.64092174323741,0.09443319826620863
2018-10-08,511010,sell,0.689564646389172,114.0,78.61036968836561,0.10219348059487529
2018-10-08,511260,buy,1.1912891372769487,102.407,121.99634668112049,0.15859525068545663
2018-12-03,511010,sell,9490.917355778838,114.84,1089936.9491376418,1416.9180338789342
2018-12-03,511880,buy,0.8948273613616986,103.379,92.50635779021104,0.12025826512727435
2018-12-03,511260,buy,10404.69732257627,104.737,1089756.7834746707,1416.6838185170718
2019-02-01,511010,sell,0.6266081682929565,116.83,73.2066323016661,0.09516862199216593
2019-02-01,511260,sell,23.42963072604008,106.456,2494.224768571323,3.2424921991427196
2019-02-01,511880,buy,9.800314520992288,100.456,984.5003955208012,1.2798505141770415
2019-04-01,511880,sell,0.08788770447602605,100.791,8.858289621843142,0.011515776508396084
2019-04-01,511260,sell,10385.126139139971,106.782,1108944.5393896443,1441.6279012065374
2019-04-01,159915,buy,71531.40095763838,1.694,121174.19322223941,157.52645118891124
2019-04-01,512880,buy,84084.92496676031,1.088,91484.39836383524,118.9297178729858
2019-04-01,512660,buy,119499.51689393712,0.86,102769.58452878593,133.6004598874217
2019-04-01,513100,buy,687277.1756409445,0.5090639445300461,349868.03001724853,454.8284390224231
2019-04-01,518880,buy,159085.65426401462,2.788,443530.80408807273,576.5900453144945
2019-04-01,511010,buy,0.7530148683987881,116.739,87.90620272200613,0.11427806353860796
2019-05-06,159915,sell,7153.140095763846,1.424,10186.071496367716,13.24189294527803
2019-05-06,512880,sell,8408.492496676032,0.905,7609.685709491809,9.89259142233935
2019-05-06,512660,sell,11949.951689393709,0.701,8376.91613426499,10.889990974544485
2019-05-06,513100,sell,68727.71756409443,0.5331095916795068,36639.40544765885,47.6312270819565
2019-05-06,518880,sell,6309.147056931144,2.793,17621.447730008687,22.90788204901129
2019-05-06,511880,buy,265.29957951643246,101.06,26811.175505930667,34.854528157709865
2019-05-06,511010,buy,230.93174423712892,116.1,26811.175505930667,34.854528157709865
