date,nav,cash,invested,drawdown,is_circuit
2018-02-05,1145334.4056042319,11279.6324839531,1134054.7731202787,-0.035367676295618544,0
2018-02-06,1126775.4611782907,11279.6324839531,1115495.8286943375,-0.05099853275072651,0
2018-02-07,1116039.956301933,11279.6324839531,1104760.3238179798,-0.0600402719705986,0
2018-02-08,1115422.6738520232,11279.6324839531,1104143.04136807,-0.060560164327909054,0
2018-02-09,1095271.9032145431,11279.6324839531,1083992.27073059,-0.07753170085851008,0
2018-02-12,1104863.9785973525,11279.6324839531,1093584.3461133994,-0.0694529895927068,0
2018-02-13,1112076.5290724172,11279.6324839531,1100796.896588464,-0.06337838003714533,0
2018-02-14,1117555.8881630423,11279.6324839531,1106276.255679089,-0.05876351221676239,0
2018-02-22,1122690.7994367525,11279.6324839531,1111411.1669527993,-0.05443874787742367,0
2018-02-23,1124974.6258695566,11279.6324839531,1113694.9933856034,-0.05251524607041118,0
2018-02-26,1137018.916095124,11279.6324839531,1125739.283611171,-0.04237121162002738,0
2018-02-27,1130631.9863476509,11279.6324839531,1119352.3538636977,-0.04775046055684022,0
2018-02-28,1124623.2693545667,11279.6324839531,1113343.6368706136,-0.052811168248113105,0
2018-03-01,1127788.4285629806,11279.6324839531,1116508.7960790275,-0.05014538359415793,0
2018-03-02,1126959.1673730963,11279.6324839531,1115679.5348891432,-0.05084381031096813,0
2018-03-05,1129321.3466200172,11279.6324839531,1118041.714136064,-0.04885431759616453,0
2018-03-06,1137606.4964775196,11279.6324839531,1126326.8639935665,-0.0418763351657273,0
2018-03-07,1136075.5050665578,11279.6324839531,1124795.8725826046,-0.04316577848909315,0
2018-03-08,1142180.7870965572,11226.894510048878,1130953.8925865083,-0.03802374105212123,0
2018-03-09,1145592.5855340087,11226.894510048878,1134365.6910239598,-0.03515023001584573,0
2018-03-12,1150077.1983042327,11226.894510048878,1138850.3037941838,-0.031373165067575634,0
2018-03-13,1144486.052314303,11226.894510048878,1133259.157804254,-0.036082182907296485,0
2018-03-14,1141222.7908716695,11226.894510048878,1129995.8963616206,-0.03883059197704904,0
2018-03-15,1140773.5025356377,11226.894510048878,1129546.6080255888,-0.03920899504385556,0
2018-03-16,1136533.9767861762,11226.894510048878,1125307.0822761273,-0.04277964092255865,0
2018-03-19,1138943.1578266774,11226.894510048878,1127716.2633166285,-0.04075056199683023,0
2018-03-20,1145888.6469036096,11226.894510048878,1134661.7523935607,-0.03490087893940916,0
2018-03-21,1142205.5125634717,11226.894510048878,1130978.6180534228,-0.03800291657982067,0
2018-03-22,1141633.2022614998,11226.894510048878,1130406.307751451,-0.038484932149919444,0
2018-03-23,1125387.0172951485,11226.894510048878,1114160.1227850995,-0.05216791860238266,0
2018-03-26,1132905.5975033396,11226.894510048878,1121678.7029932907,-0.045835562338834436,0
2018-03-27,1138276.9764379195,11226.894510048878,1127050.0819278706,-0.04131163839329726,0
2018-03-28,1128564.754346774,11226.894510048878,1117337.859836725,-0.04949154054089077,0
2018-03-29,1128812.8313999807,11226.894510048878,1117585.9368899318,-0.049282603183275715,0
2018-03-30,1137303.388064943,11226.894510048878,1126076.493554894,-0.042131621456724444,0
2018-04-02,1134436.6753229792,10036.813337983913,1124399.8619849952,-0.04454604623968957,0
2018-04-03,1135540.4053903571,10036.813337983913,1125503.5920523733,-0.04361645424068256,0
