date,nav,cash,invested,drawdown,is_circuit
2015-05-21,1008401.1953121247,373541.3302575843,634859.8650545403,-0.0014505750479199932,0
2015-05-22,1008895.1517962797,373541.3302575843,635353.8215386954,-0.000961444367098371,0
2015-05-25,1008867.3750146786,373541.3302575843,635326.0447570944,-0.0009889497780635429,0
2015-05-26,1008788.0389379505,373541.3302575843,635246.7086803663,-0.0010675107656576185,0
2015-05-27,1008408.4880151029,373541.3302575843,634867.1577575187,-0.0014433535924128745,0
2015-05-28,1008499.943626255,373541.3302575843,634958.6133686708,-0.0013527914745285214,0
2015-05-29,1006303.5489271625,373541.3302575843,632762.2186695783,-0.0035277280711355397,0
2015-06-01,1004496.9528534778,374576.0690708964,629920.8837825814,-0.005316674255337768,0
2015-06-02,1005077.7376336767,374576.0690708964,630501.6685627804,-0.004741563564290771,0
2015-06-03,1007422.7540335618,374576.0690708964,632846.6849626653,-0.00241945725531953,0
2015-06-04,1008017.5957347616,374576.0690708964,633441.5266638652,-0.0018304269750780507,0
2015-06-05,1009376.6283003341,374576.0690708964,634800.5592294376,-0.00048467174079993365,0
2015-06-08,1009672.2572160456,374576.0690708964,635096.1881451493,-0.00019193102891333925,0
2015-06-09,1008910.3190298888,374576.0690708964,634334.2499589925,-0.0009464253127091885,0
2015-06-10,1008005.5651864388,374576.0690708964,633429.4961155425,-0.0018423399886339153,0
2015-06-11,1008174.2125939745,374576.0690708964,633598.1435230782,-0.0016753402145387407,0
2015-06-12,1007682.0027126274,374576.0690708964,633105.9336417309,-0.002162741356326149,0
2015-06-15,1006269.4671323127,374576.0690708964,631693.3980614163,-0.003561476897303976,0
2015-06-16,1006306.6473987992,374576.0690708964,631730.5783279027,-0.0035246598706163497,0
2015-06-17,1005868.540554574,374576.0690708964,631292.4714836775,-0.003958486545358872,0
2015-06-18,1006127.0514899397,374576.0690708964,631550.9824190432,-0.003702501182535762,0
2015-06-19,1006494.7948349277,374576.0690708964,631918.7257640312,-0.003338350577226298,0
2015-06-23,1007220.7725229166,374576.0690708964,632644.7034520201,-0.0026194654685618136,0
2015-06-24,1008279.6905399037,374576.0690708964,633703.6214690073,-0.0015708927557868805,0
2015-06-25,1006665.3374683412,374576.0690708964,632089.2683974449,-0.003169474093028733,0
2015-06-26,1005243.8306222798,374576.0690708964,630667.7615513833,-0.004577093253238817,0
2015-06-29,1005771.5944123555,374576.0690708964,631195.5253414591,-0.004054485553505311,0
2015-06-30,1005534.8361837983,374576.0690708964,630958.7671129018,-0.004288930726792986,0
2015-07-01,1006233.4869105867,374576.0690708964,631657.4178396903,-0.0035971056033003283,0
2015-07-02,1005375.4977707893,374576.0690708964,630799.4286998928,-0.004446712452382493,0
2015-07-03,1005717.6848081739,374576.0690708964,631141.6157372775,-0.004107868477390288,0
2015-07-06,1008305.4402804475,374576.0690708964,633729.3712095511,-0.0015453945823097127,0
2015-07-07,1011017.7934358809,374576.0690708964,636441.7243649845,0.0,0
2015-07-08,1012671.2417233658,374576.0690708964,638095.1726524695,0.0,0
2015-07-09,1012118.190493807,374576.0690708964,637542.1214229105,-0.0005461310707487867,0
2015-07-10,1009998.7083785161,374576.0690708964,635422.6393076198,-0.002639092762525367,0
2015-07-13,1010523.2751646966,374576.0690708964,635947.2060938003,-0.0021210897181338085,0
2015-07-14,1010180.8126846727,374576.0690708964,635604.7436137763,-0.002459267071172062,0
2015-07-15,1011110.3096568468,374576.0690708964,636534.2405859504,-0.0015414006068372684,0
2015-07-16,1013154.7426325667,374576.0690708964,638578.6735616704,0.0,0
2015-07-17,1015737.2681537475,374576.0690708964,641161.1990828512,0.0,0
2015-07-20,1015016.1826880716,374576.0690708964,640440.1136171753,-0.0007099133686278911,0
2015-07-21,1014881.3185356671,374576.0690708964,640305.2494647707,-0.0008426880108831814,0
2015-07-22,1014725.7902979723,374576.0690708964,640149.7212270759,-0.0009958065805873036,0
2015-07-23,1015217.049279121,374576.0690708964,640640.9802082246,-0.0005121588927933449,0
2015-07-24,1013816.1376576896,374576.0690708964,639240.0685867933,-0.001891365568923008,0
2015-07-27,1014059.3521801778,374576.0690708964,639483.2831092813,-0.0016519192769401797,0
2015-07-28,1015051.5234403012,374576.0690708964,640475.4543694047,-0.0006751201663524668,0
2015-07-29,1016285.6205939341,374576.0690708964,641709.5515230377,0.0,0
2015-07-30,1014752.7663813541,374576.0690708964,640176.6973104577,-0.001508290761493005,0
2015-07-31,1014476.4440612944,374576.0690708964,639900.374990398,-0.0017801851132975232,0
2015-08-03,1015298.1062789878,378600.4716700995,636697.6346088883,-0.0009716897444333938,0
2015-08-04,1014549.6586931967,378600.4716700995,635949.1870230973,-0.0017081437201904369,0
2015-08-05,1015390.0959140859,378600.4716700995,636789.6242439864,-0.0008811742109711897,0
2015-08-06,1016051.2312214724,378600.4716700995,637450.7595513728,-0.0002306333649832881,0
2015-08-07,1016322.7670617362,378600.4716700995,637722.2953916367,0.0,0
2015-08-10,1016242.2007709118,378600.4716700995,637641.7291008122,-7.92723467736183e-05,0
2015-08-11,1015998.0903748029,378600.4716700995,637397.6187047034,-0.0003194621801811331,0
2015-08-12,1015775.7508995037,378600.4716700995,637175.2792294042,-0.0005382307471217631,0
2015-08-13,1015395.8804315112,378600.4716700995,636795.4087614117,-0.0009120002623818934,0
2015-08-14,1015269.506466009,378600.4716700995,636669.0347959095,-0.001036344584479102,0
2015-08-17,1014111.6114325952,378600.4716700995,635511.1397624958,-0.0021756431133916608,0
2015-08-18,1012788.6079428336,378600.4716700995,634188.1362727341,-0.0034773983555639026,0
2015-08-19,1013025.9880478594,378600.4716700995,634425.51637776,-0.0032438307206361554,0
2015-08-20,1012996.769657475,378600.4716700995,634396.2979873755,-0.0032725798457481792,0
2015-08-21,1013131.3396640378,378600.4716700995,634530.8679939383,-0.0031401711160373275,0
2015-08-24,1013736.8083035364,378600.4716700995,635136.3366334368,-0.002544426674289721,0
2015-08-25,1014142.2955729573,378600.4716700995,635541.8239028578,-0.0021454517791457614,0
2015-08-26,1014511.2312800018,378600.4716700995,635910.7596099023,-0.001782441405865258,0
2015-08-27,1015505.9564938741,378600.4716700995,636905.4848237747,-0.0008036920891023437,0
2015-08-28,1016101.0932533338,378600.4716700995,637500.6215832343,-0.00021811359106247035,0
2015-08-31,1016927.2227194852,378600.4716700995,638326.7510493856,0.0,0
2015-09-01,1018295.1038067637,378600.4716700995,639694.6321366641,0.0,0
2015-09-02,1018346.3531061178,378600.4716700995,639745.8814360183,0.0,0
2015-09-07,1018009.047313093,378600.4716700995,639408.5756429934,-0.00033122894975368274,0
2015-09-08,1016661.1442003946,378600.4716700995,638060.6725302951,-0.0016548484713310206,0
2015-09-09,1016741.1076103102,378600.4716700995,638140.6359402108,-0.001576325668483379,0
2015-09-10,1016014.6752369918,378600.4716700995,637414.2035668923,-0.0022896707608506483,0
2015-09-11,1015244.7167185512,378600.4716700995,636644.2450484517,-0.0030457578387805754,0
2015-09-14,1015870.147636133,378600.4716700995,637269.6759660335,-0.0024315945772594707,0
2015-09-15,1016028.8843906438,378600.4716700995,637428.4127205443,-0.0022757175968719902,0
2015-09-16,1015961.5500868193,378600.4716700995,637361.0784167199,-0.0023418388174361758,0
2015-09-17,1015858.8542859391,378600.4716700995,637258.3826158397,-0.002442684468394678,0
2015-09-18,1015855.4969886462,378600.4716700995,637255.0253185467,-0.002445981281195814,0
2015-09-21,1015929.3329883877,378600.4716700995,637328.8613182883,-0.002373475498152314,0
